Subj,List,BLOCK,TRIAL,SET,LC,CatNumber,Category,PicID,TARGET,Response,Accuracy,RT
4,5,1,1,3,CRel,10,clothes,dress.png,Lanst,Lanst,1,807
4,5,1,2,2,CRel,3,vegetables,onion.png,Troschel,Troschel,1,681
4,5,1,3,1,UnRel,4,musical instruments,drum.png,Fente,Fente,1,677
4,5,1,4,1,CRel,7,transportation,train.png,Melg,Melg,1,757
4,5,1,5,1,UnRel,14,electronic devices,printer.png,Jersch,Jersch,1,715
4,5,1,6,3,UnRel,2,tools,ax.png,Flipse,Flipse,1,824
4,5,1,7,3,CRel,10,clothes,coat.png,Dilpe,Dilpe,1,979
4,5,1,8,2,UnRel,13,insects,beetle.png,Lember,Lember,1,866
4,5,1,9,3,UnRel,8,human head,ear.png,Glutz,Glutz,1,920
4,5,1,10,1,CRel,7,transportation,bus.png,Jorn,Jorn,1,832
4,5,1,11,2,CRel,3,vegetables,tomato.png,Schinz,Schinz,1,1532
4,5,1,12,3,CRel,10,clothes,trousers.png,Glienst,Glienst,1,712
4,5,2,13,2,UnRel,12,shapes,trapeze.png,Quippe,Quippe,1,685
4,5,2,14,2,UnRel,9,drinks,milk.png,Bift,Bift,1,782
4,5,2,15,1,CRel,7,transportation,ship.png,Pramme,Pramme,1,819
4,5,2,16,2,CRel,3,vegetables,potato.png,Rullner,Rullner,1,723
4,5,2,17,3,CRel,10,clothes,skirt.png,Huspel,Huspel,1,916
4,5,2,18,1,UnRel,1,animals,horse.png,Rafke,Rafke,1,585
4,5,2,19,3,UnRel,5,fruit,banana.png,Limme,Limme,1,757
4,5,2,20,1,CRel,7,transportation,car.png,Wefer,Wefer,1,694
4,5,2,21,1,UnRel,15,plants,moss.png,Zwilk,Zwilk,1,1121
4,5,2,22,2,CRel,3,vegetables,cucumber.png,Lepf,Lepf,1,769
4,5,2,23,3,UnRel,11,tableware,glass.png,Randel,Randel,1,803
4,5,2,24,2,UnRel,6,furniture,cupboard.png,Gremt,Gremt,1,948
5,5,1,1,3,CRel,10,clothes,dress.png,Lanst,Lanst,1,832
5,5,1,2,2,CRel,3,vegetables,onion.png,Troschel,Troschel,1,853
5,5,1,3,1,UnRel,4,musical instruments,drum.png,Fente,Fente,1,698
5,5,1,4,1,CRel,7,transportation,train.png,Melg,Melg,1,815
5,5,1,5,1,UnRel,14,electronic devices,printer.png,Jersch,Jersch,1,677
5,5,1,6,3,UnRel,2,tools,ax.png,Flipse,Flipse,1,824
5,5,1,7,3,CRel,10,clothes,coat.png,Dilpe,Dilpe,1,1654
5,5,1,8,2,UnRel,13,insects,beetle.png,Lember,Lember,1,744
5,5,1,9,3,UnRel,8,human head,ear.png,Glutz,Glutz,1,798
5,5,1,10,1,CRel,7,transportation,bus.png,Jorn,Jorn,1,819
5,5,1,11,2,CRel,3,vegetables,tomato.png,Schinz,Schinz,1,811
5,5,1,12,3,CRel,10,clothes,trousers.png,Glienst,Glienst,1,602
5,5,2,13,2,UnRel,12,shapes,trapeze.png,Quippe,Quippe,1,828
5,5,2,14,2,UnRel,9,drinks,milk.png,Bift,Bift,1,849
5,5,2,15,1,CRel,7,transportation,ship.png,Pramme,Pramme,1,757
5,5,2,16,2,CRel,3,vegetables,potato.png,Rullner,Rullner,1,522
5,5,2,17,3,CRel,10,clothes,skirt.png,Huspel,Huspel,1,782
5,5,2,18,1,UnRel,1,animals,horse.png,Rafke,Rafke,1,908
5,5,2,19,3,UnRel,5,fruit,banana.png,Limme,Limme,1,782
5,5,2,20,1,CRel,7,transportation,car.png,Wefer,Wefer,1,752
5,5,2,21,1,UnRel,15,plants,moss.png,Zwilk,Zwilk,1,891
5,5,2,22,2,CRel,3,vegetables,cucumber.png,Lepf,Lepf,1,744
5,5,2,23,3,UnRel,11,tableware,glass.png,Randel,Randel,1,1000
5,5,2,24,2,UnRel,6,furniture,cupboard.png,Gremt,Gremt,1,769
6,3,1,1,2,UnRel,10,clothes,skirt.png,Huspel,Huspel,1,811
6,3,1,2,3,CRel,12,shapes,diamond.png,Brähme,Brähme,1,689
6,3,1,3,3,UnRel,1,animals,dog.png,Jasel,Jasel,1,484
6,3,1,4,1,CRel,14,electronic devices,mobile.png,Rumfe,Rumfe,1,673
6,3,1,5,2,CRel,15,plants,tree.png,Gille,Gille,1,606
6,3,1,6,2,UnRel,9,drinks,water.png,Dimst,Dimst,1,694
6,3,1,7,2,UnRel,6,furniture,bed.png,Kansche,Kansche,1,647
6,3,1,8,1,UnRel,5,fruit,pear.png,Nork,Nork,1,761
6,3,1,9,1,CRel,14,electronic devices,camera.png,Zolge,Zolge,1,782
6,3,1,10,2,CRel,15,plants,moss.png,Zwilk,Zwilk,1,752
6,3,1,11,3,CRel,12,shapes,trapeze.png,Quippe,Quippe,1,857
6,3,1,12,2,UnRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,619
6,3,2,13,3,UnRel,3,vegetables,potato.png,Rullner,Rullner,1,727
6,3,2,14,3,UnRel,4,musical instruments,violin.png,Wimsch,Wimsch,1,606
6,3,2,15,2,CRel,15,plants,cactus.png,Derg,Derg,1,694
6,3,2,16,1,UnRel,7,transportation,ship.png,Pramme,Pramme,1,706
6,3,2,17,1,CRel,14,electronic devices,computer.png,Merst,Merst,1,656
6,3,2,18,3,UnRel,11,tableware,cup.png,Knirs,Knirs,1,769
6,3,2,19,3,CRel,12,shapes,circle.png,Trulf,Trulf,1,1230
6,3,2,20,2,CRel,15,plants,flower.png,Milster,Milster,1,748
6,3,2,21,1,UnRel,8,human head,mouth.png,Zürme,Zürme,1,786
6,3,2,22,1,CRel,14,electronic devices,printer.png,Jersch,Jersch,1,807
6,3,2,23,1,UnRel,2,tools,saw.png,Klüffe,Klü...Klüffe,0,719
6,3,2,24,3,CRel,12,shapes,star.png,Prals,Prals,1,1190
8,4,1,1,2,CRel,6,furniture,chair.png,Berne,Berne,1,1172
8,4,1,2,3,UnRel,15,plants,flower.png,Milster,Milster,1,706
8,4,1,3,2,UnRel,1,animals,cow.png,Ploft,Ploft,1,773
8,4,1,4,3,CRel,13,insects,butterfly.png,Wulge,Wulge,1,949
8,4,1,5,1,CRel,9,drinks,coffee.png,Nimse,Nimse,1,798
8,4,1,6,2,CRel,6,furniture,table.png,Rixt,Rixt,1,673
8,4,1,7,1,UnRel,12,shapes,circle.png,Trulf,Trulf,1,727
8,4,1,8,1,UnRel,8,human head,nose.png,Wirs,Wirs,1,752
8,4,1,9,3,UnRel,11,tableware,bowl.png,Glemp,Glemp,1,1038
8,4,1,10,3,CRel,13,insects,fly.png,Gulch,Gulch,1,1105
8,4,1,11,1,UnRel,3,vegetables,cucumber.png,Lepf,Lepf,1,1214
8,4,1,12,2,UnRel,7,transportation,train.png,Melg,Melg,1,833
8,4,2,13,1,CRel,9,drinks,tea.png,Mönnel,Mönnel,1,815
8,4,2,14,1,UnRel,2,tools,pliers.png,Scholk,Scholk,1,757
8,4,2,15,3,UnRel,10,clothes,dress.png,Lanst,Lanst,1,777
8,4,2,16,3,CRel,13,insects,dragonfly.png,Schmorp,Schmorp,1,1256
8,4,2,17,2,CRel,6,furniture,cupboard.png,Gremt,Grempt,0,2514
8,4,2,18,1,CRel,9,drinks,water.png,Dimst,Dimst,1,1499
8,4,2,19,2,UnRel,5,fruit,orange.png,Amst,Amst,1,903
8,4,2,20,3,UnRel,4,musical instruments,piano.png,Mirge,Mirge,1,1042
8,4,2,21,2,UnRel,14,electronic devices,camera.png,Zolge,Zolge,1,979
8,4,2,22,3,CRel,13,insects,beetle.png,Lember,Lember,1,2325
8,4,2,23,1,CRel,9,drinks,milk.png,Bift,Bift,1,983
8,4,2,24,2,CRel,6,furniture,bed.png,Kansche,Kansche,1,712
9,2,1,1,3,CRel,11,tableware,bowl.png,Glemp,Glemp,1,1168
9,2,1,2,1,CRel,1,animals,cat.png,Marp,Marp,1,866
9,2,1,3,1,UnRel,15,plants,cactus.png,Derg,Derg,1,878
9,2,1,4,2,CRel,8,human head,eye.png,Limfer,Limfer,1,845
9,2,1,5,2,UnRel,2,tools,hammer.png,Jund,Jund,1,1021
9,2,1,6,2,UnRel,3,vegetables,tomato.png,Schinz,Schinz,1,874
9,2,1,7,3,CRel,11,tableware,glass.png,Randel,Randel,1,920
9,2,1,8,1,UnRel,7,transportation,bus.png,Jorn,Jorn,1,786
9,2,1,9,1,CRel,1,animals,horse.png,Rafke,Rafke,1,1348
9,2,1,10,2,CRel,8,human head,ear.png,Glutz,Glutz,1,899
9,2,1,11,1,UnRel,12,shapes,star.png,Prals,Prals,1,887
9,2,1,12,3,CRel,11,tableware,plate.png,Schrenge,Schrenge,1,960
9,2,2,13,3,UnRel,6,furniture,chair.png,Berne,Berne,1,1708
9,2,2,14,2,UnRel,4,musical instruments,guitar.png,Zort,Zort,1,845
9,2,2,15,3,UnRel,14,electronic devices,computer.png,Merst,Merst,1,769
9,2,2,16,1,UnRel,9,drinks,coffee.png,Nimse,Nimse,1,924
9,2,2,17,2,CRel,8,human head,mouth.png,Zürme,Zürme,1,1147
9,2,2,18,1,CRel,1,animals,cow.png,Ploft,Ploft,1,1230
9,2,2,19,3,UnRel,10,clothes,coat.png,Dilpe,Dilpe,1,1075
9,2,2,20,2,UnRel,13,insects,fly.png,Gulch,Gulch,1,1058
9,2,2,21,3,CRel,11,tableware,cup.png,Knirs,Knirs,1,836
9,2,2,22,3,UnRel,5,fruit,apple.png,Glürre,Glürre,1,903
